1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,0
5M,RSI,Aceleracion RSI,Oscilador Estocastico,Aceleracion de Oscilador Estocastico,Nivel MACD,Aceleracion de Nivel MACD,IMDM,Aceleracion IMDM,ICBP,Aceleracion de ICBP,OA,Aceleracion de OA,RSIR,Aceleracion RSIR,Williams,Aceleracion de Williams,OU,Aceleracion de OU,Volumen ,Volumen Pendiente,Hora,Mayor o Menor 1.5m,Mayor o Menor 2.5m,Mayor o Menor 3.5m,Mayor o Menor 4.5m,
2,4,2,3,2,1,2,1,3,1,2,3,4,2,2,1,2,6,1,1,1,14.56.54,2,2,2,2,
0,4,4,3,3,1,4,1,2,1,4,3,2,2,4,1,4,7,4,1,1,14.56.23,2,1,1,2,
1,2,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,6,1,1,1,14.55.46,1,1,1,1,
1,4,4,3,3,1,4,1,2,1,4,3,2,2,3,1,4,6,4,1,1,14.55.12,1,1,1,1,
1,3,4,2,3,1,2,1,2,1,4,3,2,2,3,1,3,5,4,1,1,14.54.35,1,1,1,1,
1,2,1,2,1,1,2,1,2,1,1,3,2,2,1,1,1,5,1,1,1,14.54.00,1,1,1,1,
1,3,1,2,1,1,2,1,2,1,2,3,2,2,1,1,1,5,1,1,1,14.53.21,1,1,1,1,
1,3,1,2,1,1,1,1,2,1,1,3,2,2,1,1,1,5,1,1,1,14.52.48,2,1,1,1,
1,3,4,2,3,1,4,1,2,1,4,3,4,2,3,1,4,6,4,1,1,14.52.14,1,2,1,1,
1,2,4,2,3,1,2,1,2,1,4,2,2,2,3,1,3,5,4,1,1,14.51.41,1,2,1,1,
1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,5,1,1,1,14.51.09,1,1,1,1,
1,2,1,2,3,1,1,1,1,1,1,2,4,2,3,1,1,5,4,1,1,14.50.32,1,1,1,1,
2,3,4,2,3,1,2,2,2,1,4,1,2,1,3,1,4,4,4,1,1,14.49.55,2,2,0,2,
2,2,4,1,3,1,4,2,2,1,4,1,2,1,3,1,4,4,4,1,1,14.49.20,2,2,2,2,
0,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,14.48.47,2,2,2,0,
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,5,1,1,1,14.48.16,2,2,2,2,
2,4,4,2,3,1,2,2,3,1,4,1,2,2,3,1,3,5,3,1,1,14.47.38,2,2,2,2,
