1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Precio,Mayor o Menor 5m,RSI,Pendiente RSI,Oscilador Estocastico,Pendiente Oscilador Estocastico,Nivel MACD,Pendiente Nivel MACD,IMDM,Pendiente IMDM,ICPB,Pendiente ICPB,OA,Pendiente OA,RSIR,Pendiente RSIR,Williamso,Pendiente Williams,OU,Pendiente OU,Hora,Volumen,Volumen Pendiente,Mayor o Menor 1.5m,Mayor o Menor 2.5m,Mayor o Menor 3.5m,Mayor o Menor 4.5m
0.71737,2,61.28408,4.917200000000008,85.40434,1.9724000000000785,0.00033,9.999999999999972e-05,21.79257,6.182200000000009,118.07766,-132.64210000000006,0.00069,0.00019999999999999944,93.11694,-17.515599999999978,-17.15976,17.7515,73.5425,59.81970000000004,13.50.44,222.778,2,2,2,2,
0.71745,2,61.9886,7.0451999999999515,86.19329,7.889499999999998,0.00033,0.0,21.79257,0.0,125.18425,71.06590000000011,0.00069,0.0,94.63631,15.19369999999995,-14.7929,23.66859999999999,74.22565,6.831499999999977,13.51.20,222.82,2,2,2,2,
0.71739,2,62.58084,5.922400000000039,87.17949,9.861999999999966,0.00034,0.00010000000000000026,21.79257,0.0,133.9174,87.3314999999998,0.0007,0.00010000000000000026,95.91353,12.772199999999998,-11.83432,29.585799999999995,74.28866,0.6300999999999135,13.51.51,222.846,2,2,2,2,
0.71732,2,61.28408,-12.96759999999999,85.40434,-17.751499999999965,0.00033,-0.00010000000000000026,21.79257,0.0,118.07766,-158.39739999999992,0.0007,0.0,93.11694,-27.965899999999948,-17.15976,-53.25439999999998,72.76983,-15.188299999999941,13.52.24,222.874,2,2,2,2,
0.71728,2,60.33515,-9.489300000000043,84.41815,-9.861900000000077,0.00032,-9.999999999999972e-05,21.40321,-3.8935999999999993,109.04027,-90.37389999999988,0.00069,-0.00010000000000000026,91.07049,-20.46449999999993,-20.11834,-29.585800000000013,72.35015,-4.196799999999996,13.52.53,222.898,2,0,2,2,
0.71726,2,59.05497,-12.801800000000014,83.03748,-13.80669999999995,0.00032,0.0,21.40321,0.0,96.09121,-129.49060000000003,0.00069,0.0,88.30967,-27.608200000000096,-24.26036,-41.42019999999999,71.19173,-11.584199999999925,13.53.29,222.958,0,1,2,2,
0.71727,2,60.52258,14.676100000000005,84.61538,15.778999999999996,0.00033,9.999999999999972e-05,21.40321,0.0,110.86166,147.70449999999997,0.00069,0.0,91.47469,31.650199999999984,-19.52663,47.33729999999998,72.51564,13.23909999999998,13.54.01,222.963,1,2,2,2,
0.7172,2,59.96376,-5.588199999999972,84.02367,-5.917100000000062,0.00032,-9.999999999999972e-05,21.40321,0.0,105.37634,-54.853200000000015,0.00069,0.0,90.26955,-12.051400000000001,-21.30178,-17.7515,72.01917,-4.964700000000022,13.54.34,223.001,1,2,2,1,
0.71717,1,57.14948,-28.142800000000037,80.86785,-31.558199999999914,0.00031,-0.00010000000000000026,21.04523,-3.579800000000013,75.0111,-303.6524,0.00068,-9.999999999999918e-05,84.20031,-60.692399999999935,-30.76923,-94.6745,69.83666,-21.825100000000077,13.55.01,223.035,2,2,2,1,
0.71726,2,59.12671,19.772300000000058,77.12032,-37.475299999999976,0.00031,0.0,20.92533,-1.1990000000000123,96.97532,219.64219999999997,0.00062,-0.0006000000000000005,74.75785,-94.42459999999997,-21.30178,94.6745,70.36702,5.303600000000017,13.55.36,223.075,2,2,2,0,
0.71728,2,58.75894,-3.6777000000000015,76.5286,-5.9172000000000935,0.00031,0.0,20.92533,0.0,91.56826,-54.07060000000001,0.00063,0.00010000000000000026,73.96473,-7.931200000000018,-23.07692,-17.751400000000004,68.29315,-20.738699999999994,13.56.11,223.153,2,2,2,2,
0.71727,2,58.25817,-5.007700000000028,75.73964,-7.88960000000003,0.0003,-0.00010000000000000026,20.92533,0.0,84.27201,-72.9625,0.00063,0.0,72.88476,-10.79970000000003,-25.44379,-23.668699999999987,67.6197,-6.7345000000000255,13.56.44,223.217,2,2,2,1,
0.71712,1,55.9378,-23.20369999999997,72.58383,-31.558099999999882,0.00029,-9.999999999999972e-05,20.92533,0.0,54.05405,-302.17959999999994,0.00063,0.0,67.88067,-50.04090000000005,-34.91124,-94.6745,64.92589,-26.93809999999999,13.57.19,223.324,0,1,1,1,
